Fri Mar 22 2019 00:45:17, 85, 0.9631, 0.0052, 0 h 3 m 9.851120s
Fri Mar 22 2019 00:45:19, 86, 0.8768, 0.0114, 0 h 3 m 11.543036s
Fri Mar 22 2019 00:45:21, 87, 0.9178, 0.0036, 0 h 3 m 13.211023s
Fri Mar 22 2019 00:45:22, 88, -0.1896, 0.2103, 0 h 3 m 14.871580s
Fri Mar 22 2019 00:45:24, 89, 0.0922, 0.0987, 0 h 3 m 16.516167s
Fri Mar 22 2019 00:45:26, 90, 0.6715, 0.0057, 0 h 3 m 18.178401s
Fri Mar 22 2019 00:45:27, 91, 0.5860, 0.0122, 0 h 3 m 19.887153s
Fri Mar 22 2019 00:45:29, 92, 0.5857, 0.0061, 0 h 3 m 21.558789s
Fri Mar 22 2019 00:45:31, 93, 0.5527, 0.0222, 0 h 3 m 23.229310s
Fri Mar 22 2019 00:45:32, 94, 0.6292, 0.0018, 0 h 3 m 24.883892s
Fri Mar 22 2019 00:45:34, 95, 0.8065, 0.0048, 0 h 3 m 26.543722s
Fri Mar 22 2019 00:45:36, 96, -0.6194, 0.0072, 0 h 3 m 28.224636s
Fri Mar 22 2019 00:45:37, 97, 0.7070, 0.0050, 0 h 3 m 29.884890s
Fri Mar 22 2019 00:45:39, 98, -0.0529, 0.0134, 0 h 3 m 31.555366s
Fri Mar 22 2019 00:45:41, 99, 0.7074, 0.0124, 0 h 3 m 33.234087s
Fri Mar 22 2019 00:45:42, 100, 0.6924, 0.0099, 0 h 3 m 34.906722s
Fri Mar 22 2019 00:45:44, 101, 0.8727, 0.0303, 0 h 3 m 36.554723s
Fri Mar 22 2019 00:45:46, 102, -1.0643, 0.2225, 0 h 3 m 38.177011s
Fri Mar 22 2019 00:45:47, 103, 0.9471, 0.0008, 0 h 3 m 39.840401s
Fri Mar 22 2019 00:45:49, 104, 0.7996, 0.0116, 0 h 3 m 41.485269s
Fri Mar 22 2019 00:45:50, 105, 0.8130, 0.0266, 0 h 3 m 43.149239s
Fri Mar 22 2019 00:45:52, 106, -0.1338, 0.1769, 0 h 3 m 44.781145s
Fri Mar 22 2019 00:45:54, 107, -0.4266, 0.0493, 0 h 3 m 46.477322s
Fri Mar 22 2019 00:45:55, 108, 0.2327, 0.0030, 0 h 3 m 48.130232s
Fri Mar 22 2019 00:45:57, 109, -0.0064, 0.0027, 0 h 3 m 49.811106s
Fri Mar 22 2019 00:45:59, 110, 0.4868, 0.0037, 0 h 3 m 51.487261s
Fri Mar 22 2019 00:46:01, 111, -0.5923, 0.0038, 0 h 3 m 53.172502s
Fri Mar 22 2019 00:46:02, 112, -1.1773, 0.0031, 0 h 3 m 54.845699s
Fri Mar 22 2019 00:46:04, 113, 0.0902, 0.0016, 0 h 3 m 56.541472s
Fri Mar 22 2019 00:46:06, 114, -0.9675, 0.1467, 0 h 3 m 58.204183s
Fri Mar 22 2019 00:46:07, 115, -0.5012, 0.0668, 0 h 3 m 59.866381s
Fri Mar 22 2019 00:46:09, 116, -0.6651, 0.0893, 0 h 4 m 1.518411s
Fri Mar 22 2019 00:46:11, 117, 0.3039, 0.0301, 0 h 4 m 3.217379s
Fri Mar 22 2019 00:46:12, 118, -0.1876, 0.0421, 0 h 4 m 4.901358s
Fri Mar 22 2019 00:46:14, 119, 0.6836, 0.0214, 0 h 4 m 6.567050s
Fri Mar 22 2019 00:46:16, 120, 0.8520, 0.0158, 0 h 4 m 8.242745s
Fri Mar 22 2019 00:46:17, 121, 0.8434, 0.0171, 0 h 4 m 9.889126s
Fri Mar 22 2019 00:46:19, 122, 0.9272, 0.0115, 0 h 4 m 11.546810s
Fri Mar 22 2019 00:46:21, 123, 0.9726, 0.0055, 0 h 4 m 13.207086s
Fri Mar 22 2019 00:46:22, 124, 0.6919, 0.0822, 0 h 4 m 14.867943s
Fri Mar 22 2019 00:46:24, 125, 0.7332, 0.0632, 0 h 4 m 16.570634s
Fri Mar 22 2019 00:46:26, 126, 0.9306, 0.0017, 0 h 4 m 18.252053s
Fri Mar 22 2019 00:46:27, 127, 0.8792, 0.0010, 0 h 4 m 19.944229s
Fri Mar 22 2019 00:46:29, 128, 0.8305, 0.0030, 0 h 4 m 21.592751s
Fri Mar 22 2019 00:46:31, 129, 0.9081, 0.0003, 0 h 4 m 23.310760s
Fri Mar 22 2019 00:46:32, 130, -1.2573, 0.0928, 0 h 4 m 25.124698s
Fri Mar 22 2019 00:46:34, 131, 0.8510, 0.0103, 0 h 4 m 26.823045s
Fri Mar 22 2019 00:46:36, 132, 0.9459, 0.0085, 0 h 4 m 28.988254s
Fri Mar 22 2019 00:46:38, 133, 0.9499, 0.0061, 0 h 4 m 30.901748s
Fri Mar 22 2019 00:46:40, 134, 0.7846, 0.0047, 0 h 4 m 32.932735s
